timestamp,type,epoch,step,loss,perplexity,tokens,batches,tokens_per_second,learning_rate,gradient_norm
1784773532.382774,train,1,1,5.509985446929932,,20,,37.60220160878223,0.0002,1.0326787233352661
1784786473.048417,train,1,1,5.509985446929932,,20,,103.81475950214755,2.0000000000000003e-06,1.0326787233352661
1784786473.1001852,train,1,2,7.812827110290527,,61,,4017.3536494274194,4.000000000000001e-06,0.6699401140213013
1784786473.148751,train,1,3,4.36005163192749,,156,,15518.462894667535,6e-06,0.42703917622566223
1784786473.1996748,train,1,4,5.269167423248291,,26,,2711.5462315938144,8.000000000000001e-06,1.7758256196975708
1784786473.248713,train,1,5,4.435046672821045,,29,,2874.655028862221,1e-05,1.4488457441329956
1784786473.297899,train,1,6,4.741349220275879,,34,,3272.324689018613,1.2e-05,0.6912277340888977
1784786473.3495638,train,1,7,3.9939606189727783,,119,,10185.77571237315,1.4000000000000001e-05,0.47163277864456177
1784786473.399795,train,1,8,4.679506778717041,,9,,749.4197617407062,1.6000000000000003e-05,2.543069362640381
1784786473.449638,train,1,9,3.411684989929199,,17,,1521.956505504193,1.8e-05,0.9389078617095947
1784786473.4994009,train,1,10,2.85742449760437,,28,,2504.7711421569747,2e-05,0.9871627688407898
1784786473.5513742,train,1,11,5.754648208618164,,18,,1482.8901654784224,2.2000000000000003e-05,1.9670755863189697
1784786473.602963,train,1,12,5.345922470092773,,64,,5471.507593609606,2.4e-05,1.2196937799453735
1784786473.653153,train,1,13,2.890052318572998,,13,,1128.3008217634851,2.6000000000000002e-05,1.551434874534607
1784786473.702989,train,1,14,4.10479211807251,,68,,5916.258834334636,2.8000000000000003e-05,0.873655378818512
1784786473.752824,train,1,15,5.2133049964904785,,190,,16534.980061237173,3e-05,0.4349110722541809
1784786473.803831,train,1,16,3.297057628631592,,52,,4022.9384851322025,3.2000000000000005e-05,0.7989477515220642
1784786473.854347,train,1,17,2.5579848289489746,,98,,7980.699736487164,3.4000000000000007e-05,0.7209441661834717
1784786473.904424,train,1,18,5.746334552764893,,18,,1531.914892949201,3.6e-05,1.197303056716919
1784786473.954526,train,1,19,6.275450229644775,,111,,9359.124269558768,3.8e-05,0.5948371887207031
1784786474.005148,train,1,20,3.407274007797241,,73,,6163.978721489912,4e-05,0.7021781206130981
1784786474.0560682,train,1,21,2.7421600818634033,,100,,8052.124302193956,4.2e-05,0.40304654836654663
1784786474.106337,train,1,22,5.552595615386963,,48,,3930.7612766284296,4.4000000000000006e-05,0.7501192688941956
1784786474.155849,train,1,23,3.553452491760254,,13,,1065.6429503852803,4.600000000000001e-05,1.7753119468688965
1784786474.2054021,train,1,24,3.070037841796875,,17,,1725.5013575495343,4.8e-05,1.6933151483535767
1784786474.25487,train,1,25,2.2242534160614014,,71,,7085.386391265835,5e-05,0.6327264308929443
1784786474.304477,train,1,26,4.067028999328613,,121,,11621.113661753703,5.2000000000000004e-05,0.8171098828315735
1784786474.354837,train,1,27,4.830738067626953,,21,,1960.1208739760793,5.4000000000000005e-05,1.7535936832427979
1784786474.4049249,train,1,28,5.659292221069336,,58,,5230.565588584411,5.6000000000000006e-05,1.00934898853302
1784786474.454601,train,1,29,3.51617431640625,,153,,13605.340550922401,5.8e-05,0.6275126934051514
1784786474.504343,train,1,30,6.072850227355957,,21,,1785.7458698140638,6e-05,1.7529160976409912
1784786474.554661,train,1,31,2.4945967197418213,,15,,1115.9087746464168,6.2e-05,1.8083792924880981
1784786474.604828,train,1,32,4.646376132965088,,23,,1933.2604863763675,6.400000000000001e-05,1.4928388595581055
1784786474.6549919,train,1,33,4.328355312347412,,92,,7791.273147532061,6.6e-05,0.6698193550109863
1784786474.7054222,train,1,34,4.7380595207214355,,50,,4348.661031852135,6.800000000000001e-05,0.9643048048019409
1784786474.755641,train,1,35,3.4589638710021973,,63,,5250.528990697926,7e-05,0.5262250304222107
1784786474.805983,train,1,36,3.936735153198242,,143,,12103.813821303273,7.2e-05,0.8686684966087341
1784786474.856063,train,1,37,5.868760585784912,,24,,2044.830001520746,7.4e-05,1.2591983079910278
1784786474.90641,train,1,38,4.487098693847656,,169,,14285.915957386045,7.6e-05,0.511023759841919
1784786474.9567769,train,1,39,7.716097354888916,,70,,5778.120501836878,7.800000000000001e-05,0.6892597079277039
1784786475.007273,train,1,40,4.099936008453369,,23,,1928.700957039841,8e-05,1.2961350679397583
1784786475.0596008,train,1,41,3.9409420490264893,,28,,2108.4734268590805,8.2e-05,1.3636295795440674
1784786475.110067,train,1,42,5.9559712409973145,,30,,2475.8262397031854,8.4e-05,0.9716275930404663
1784786475.160207,train,1,43,2.6164822578430176,,31,,2622.285194997461,8.6e-05,1.2530220746994019
1784786475.209974,train,1,44,4.261232852935791,,197,,16361.842229215512,8.800000000000001e-05,0.816512405872345
