epoch,examples_per_second,gpu_memory_mb,gradient_norm,learning_rate,perplexity,remaining_seconds,step,timestamp,tokens_per_second,tokens_processed,training_loss,validation_loss
4,0.3876601130662449,,2.1683290004730225,4.9199999999999997e-05,,1326275.216,5041,2026-07-24T10:06:13.449065+00:00,396.9639557798348,2048,5.916696548461914,
4,1.6015309033902725,,2.128006935119629,5.04e-05,,823650.819,5042,2026-07-24T10:06:15.172333+00:00,1639.967645071639,2048,4.932928085327148,
4,1.825987916524937,,2.4715499877929688,5.16e-05,,642954.453,5043,2026-07-24T10:06:16.292292+00:00,1869.8116265215356,2048,5.399914741516113,
4,1.780523015065401,,2.2473247051239014,5.28e-05,,554403.146,5044,2026-07-24T10:06:17.423722+00:00,1823.2555674269706,2048,4.826678276062012,
4,1.7605002920723911,,2.2268221378326416,5.4000000000000005e-05,,501928.734,5045,2026-07-24T10:06:18.569096+00:00,1802.7522990821285,2048,4.5840253829956055,
4,1.8119487819040379,,1.9846147298812866,5.520000000000001e-05,,465563.39,5046,2026-07-24T10:06:19.683436+00:00,1855.4355526697348,2048,5.180971622467041,
4,1.7838197735506252,,1.8044999837875366,5.6399999999999995e-05,,440227.025,5047,2026-07-24T10:06:20.815096+00:00,1826.6314481158402,2048,6.1616668701171875,
4,1.8607270599114698,,1.820581078529358,5.76e-05,,419735.395,5048,2026-07-24T10:06:21.902205+00:00,1905.384509349345,2048,5.08309268951416,
4,1.8979576506678355,,1.8348110914230347,5.88e-05,,403194.995,5049,2026-07-24T10:06:22.965161+00:00,1943.5086342838636,2048,4.89657735824585,
4,1.8766472711238722,,1.8804314136505127,6e-05,,390270.069,5050,2026-07-24T10:06:24.044520+00:00,1921.6868056308451,2048,4.973571300506592,
4,1.77563576915849,,2.0525877475738525,5.999999999798371e-05,,381111.739,5051,2026-07-24T10:06:25.184274+00:00,1818.2510276182938,2048,5.23795223236084,
4,1.8207460360672858,,2.1739494800567627,5.999999999193481e-05,,372881.807,5052,2026-07-24T10:06:26.290818+00:00,1864.4439409329007,2048,5.790332794189453,
4,1.790292987201429,,1.960033655166626,5.999999998185333e-05,,366287.319,5053,2026-07-24T10:06:27.415153+00:00,1833.2600188942633,2048,5.544882297515869,
4,1.7437194494916266,,1.703112006187439,5.9999999967739254e-05,,361182.606,5054,2026-07-24T10:06:28.571975+00:00,1785.5687162794256,2048,6.149991035461426,
4,1.7855172666406909,,1.951521635055542,5.999999994959259e-05,,356298.236,5055,2026-07-24T10:06:29.701598+00:00,1828.3696810400675,2048,5.447389602661133,
4,1.8353180577541335,,1.7475402355194092,5.999999992741333e-05,,351535.957,5056,2026-07-24T10:06:30.799446+00:00,1879.3656911402327,2048,5.046660423278809,
4,1.9513666585635427,,1.868125081062317,5.9999999901201475e-05,,346353.881,5057,2026-07-24T10:06:31.830402+00:00,1998.1994583690678,2048,5.17566442489624,
4,1.925047783297747,,1.8651810884475708,5.999999987095703e-05,,341947.587,5058,2026-07-24T10:06:32.875858+00:00,1971.248930096893,2048,4.54166841506958,
4,1.8385980572904297,,2.4193801879882812,5.999999983667999e-05,,338665.905,5059,2026-07-24T10:06:33.971939+00:00,1882.7244106654,2048,4.763982772827148,
4,1.7660035058890171,,1.8138548135757446,5.999999979837036e-05,,336286.992,5060,2026-07-24T10:06:35.111288+00:00,1808.3875900303535,2048,5.239485263824463,
4,1.8919990933281337,,2.0236189365386963,5.999999975602814e-05,,333211.379,5061,2026-07-24T10:06:36.182980+00:00,1937.4070715680089,2048,5.400211811065674,
4,1.9055308463465481,,1.8946963548660278,5.999999970965332e-05,,330327.562,5062,2026-07-24T10:06:37.242696+00:00,1951.2635866588653,2048,5.186516284942627,
4,1.870863856185278,,2.3524210453033447,5.999999965924592e-05,,327911.78,5063,2026-07-24T10:06:38.320333+00:00,1915.7645887337246,2048,6.379404544830322,
4,1.790904578229639,,1.9130104780197144,5.999999960480592e-05,,326208.422,5064,2026-07-24T10:06:39.444662+00:00,1833.8862881071504,2048,5.6271586418151855,
4,1.937603593677341,,3.6938998699188232,5.999999954633332e-05,,323771.894,5065,2026-07-24T10:06:40.490446+00:00,1984.1060799255972,2048,6.937069892883301,
4,1.9323210204973815,,5.740025520324707,5.999999948382813e-05,,321550.61,5066,2026-07-24T10:06:41.531854+00:00,1978.6967249893187,2048,6.751828670501709,
4,1.7710101576284867,,1.8286136388778687,5.9999999417290347e-05,,320391.301,5067,2026-07-24T10:06:42.668218+00:00,1813.5144014115704,2048,5.264162540435791,
4,1.8258046905293979,,2.0738887786865234,5.999999934671998e-05,,319003.588,5068,2026-07-24T10:06:43.780760+00:00,1869.6240031021034,2048,5.458278656005859,
4,1.791710985609739,,2.147993564605713,5.999999927211701e-05,,317896.257,5069,2026-07-24T10:06:44.906445+00:00,1834.7120492643728,2048,5.3247270584106445,
4,1.9258042192324183,,1.916994571685791,5.9999999193481447e-05,,316196.724,5070,2026-07-24T10:06:45.955793+00:00,1972.0235204939963,2048,5.181668758392334,
4,1.9382350693465176,,2.0409297943115234,5.99999991108133e-05,,314551.544,5071,2026-07-24T10:06:46.993942+00:00,1984.752711010834,2048,4.725541114807129,
4,1.73640415493328,,2.257082939147949,5.999999902411256e-05,,313972.538,5072,2026-07-24T10:06:48.152513+00:00,1778.0778546516788,2048,4.960997581481934,
4,1.7808418150583816,,1.7040140628814697,5.9999998933379224e-05,,313204.684,5073,2026-07-24T10:06:49.287206+00:00,1823.5820186197827,2048,4.2506208419799805,
4,1.8988784703516375,,2.597407579421997,5.9999998838613293e-05,,311954.163,5074,2026-07-24T10:06:50.351851+00:00,1944.4515536400768,2048,5.236649513244629,
4,1.91911874067532,,2.146629571914673,5.999999873981478e-05,,310693.461,5075,2026-07-24T10:06:51.403223+00:00,1965.1775904515277,2048,5.079510688781738,
4,1.797839266878153,,2.7667691707611084,5.999999863698366e-05,,310004.687,5076,2026-07-24T10:06:52.523647+00:00,1840.9874092832288,2048,6.154818534851074,
4,1.7651965675426626,,1.888494610786438,5.999999853011995e-05,,309495.995,5077,2026-07-24T10:06:53.668931+00:00,1807.5612851636865,2048,5.436429023742676,
4,1.7953066202038828,,2.0226900577545166,5.999999841922365e-05,,308885.482,5078,2026-07-24T10:06:54.790597+00:00,1838.393979088776,2048,5.362157821655273,
4,1.7999675780800632,,1.9067881107330322,5.9999998304294766e-05,,308287.209,5079,2026-07-24T10:06:55.911851+00:00,1843.1667999539848,2048,5.561331748962402,
4,1.8761477480406017,,1.8237407207489014,5.999999818533328e-05,,307428.879,5080,2026-07-24T10:06:56.990016+00:00,1921.1752939935761,2048,4.424254417419434,
4,1.8072154426560756,,1.888500452041626,5.99999980623392e-05,,306867.273,5081,2026-07-24T10:06:58.113663+00:00,1850.5886132798214,2048,5.558216094970703,
4,1.8152285650697204,,2.094552993774414,5.999999793531254e-05,,306302.46,5082,2026-07-24T10:06:59.227979+00:00,1858.7940506313937,2048,5.600118637084961,
4,1.9460764119589726,,1.97864830493927,5.999999780425327e-05,,305321.053,5083,2026-07-24T10:07:00.262739+00:00,1992.782245845988,2048,4.669062614440918,
4,1.9469840298434444,,1.6897647380828857,5.9999997669161415e-05,,304381.411,5084,2026-07-24T10:07:01.297144+00:00,1993.711646559687,2048,5.268529891967773,
4,1.8181159114796626,,2.270451307296753,5.9999997530036965e-05,,303899.356,5085,2026-07-24T10:07:02.403698+00:00,1861.7506933551745,2048,6.141971588134766,
4,1.7901449600238153,,1.9798316955566406,5.999999738687993e-05,,303534.251,5086,2026-07-24T10:07:03.534932+00:00,1833.1084390643869,2048,4.732904434204102,
4,1.947939766962334,,2.153949022293091,5.99999972396903e-05,,302689.712,5087,2026-07-24T10:07:04.569574+00:00,1994.69032136943,2048,5.457311153411865,
4,1.734956920474327,,1.9965503215789795,5.999999708846808e-05,,302555.227,5088,2026-07-24T10:07:05.729475+00:00,1776.5958865657108,2048,5.138679504394531,
4,1.7715791530249771,,1.9972805976867676,5.999999693321326e-05,,302301.186,5089,2026-07-24T10:07:06.887043+00:00,1814.0970526975766,2048,6.08298397064209,
4,1.8821896698588572,,2.49482798576355,5.9999996773925856e-05,,301716.222,5090,2026-07-24T10:07:07.960380+00:00,1927.3622219354697,2048,6.27158784866333,
4,1.7725310197846984,,3.031280994415283,5.9999996610605856e-05,,280994.816,5091,2026-07-24T10:07:09.099691+00:00,1815.0717642595312,2048,6.263579368591309,
4,1.9210152175042012,,2.547743558883667,5.999999644325327e-05,,279926.114,5092,2026-07-24T10:07:10.151155+00:00,1967.119582724302,2048,4.484964847564697,
4,1.9509966531746372,,1.938516616821289,5.999999627186807e-05,,279564.269,5093,2026-07-24T10:07:11.183866+00:00,1997.8205728508285,2048,5.139666557312012,
4,1.932472720645925,,1.8279763460159302,5.9999996096450304e-05,,279109.173,5094,2026-07-24T10:07:12.225589+00:00,1978.852065941427,2048,5.18818473815918,
4,1.761347600144122,,1.7317465543746948,5.999999591699993e-05,,279105.278,5095,2026-07-24T10:07:13.367125+00:00,1803.6199425475809,2048,5.49439811706543,
4,1.9330614643481263,,1.8159674406051636,5.9999995733516974e-05,,278748.708,5096,2026-07-24T10:07:14.408044+00:00,1979.4549394924813,2048,4.506436824798584,
4,1.758852394685035,,2.677746295928955,5.999999554600142e-05,,278829.435,5097,2026-07-24T10:07:15.553221+00:00,1801.0648521574758,2048,6.499494552612305,
4,1.8057420334088643,,1.650445580482483,5.999999535445328e-05,,278996.588,5098,2026-07-24T10:07:16.675766+00:00,1849.079842210677,2048,4.961879730224609,
4,1.9063584054862586,,2.175394296646118,5.9999995158872537e-05,,278971.633,5099,2026-07-24T10:07:17.735780+00:00,1952.1110072179288,2048,4.641316890716553,
4,1.9019458927318749,,3.176140546798706,5.99999949592592e-05,,278897.681,5100,2026-07-24T10:07:18.798185+00:00,1947.5925941574399,2048,6.221094131469727,
4,1.77765274953087,,3.3314380645751953,5.999999475561328e-05,,278890.026,5101,2026-07-24T10:07:19.939329+00:00,1820.316415519611,2048,6.602295875549316,
4,1.8731316980558312,,1.7646526098251343,5.999999454793477e-05,,278731.032,5102,2026-07-24T10:07:21.020671+00:00,1918.0868588091712,2048,4.2787322998046875,
4,1.766876607712126,,1.8051059246063232,5.999999433622366e-05,,278806.05,5103,2026-07-24T10:07:22.165592+00:00,1809.281646297217,2048,5.432723045349121,
4,1.73677999152073,,2.065810441970825,5.999999412047997e-05,,278828.522,5104,2026-07-24T10:07:23.332405+00:00,1778.4627113172276,2048,5.0217132568359375,
4,1.8809557973067055,,6.408132076263428,5.999999390070368e-05,,278535.299,5105,2026-07-24T10:07:24.408002+00:00,1926.0987364420664,2048,6.999808311462402,
4,1.9101733056704933,,1.7224090099334717,5.9999993676894795e-05,,278314.711,5106,2026-07-24T10:07:25.466938+00:00,1956.017465006585,2048,5.3031206130981445,
4,1.8910926816229559,,2.027881383895874,5.999999344905332e-05,,278481.54,5107,2026-07-24T10:07:26.536528+00:00,1936.4789059819068,2048,4.6246490478515625,
4,1.8827438129722038,,9.297194480895996,5.9999993217179264e-05,,278600.448,5108,2026-07-24T10:07:27.609782+00:00,1927.9296644835367,2048,8.036518096923828,
4,1.7909802874633842,,5.0497965812683105,5.99999929812726e-05,,278748.023,5109,2026-07-24T10:07:28.739028+00:00,1833.9638143625054,2048,6.646000862121582,
4,1.8058887770224121,,2.197244882583618,5.999999274133336e-05,,278618.372,5110,2026-07-24T10:07:29.855840+00:00,1849.23010767095,2048,4.884563446044922,
4,1.812442348760627,,5.165159702301025,5.999999249736152e-05,,278855.788,5111,2026-07-24T10:07:30.971933+00:00,1855.940965130882,2048,4.5822601318359375,
4,1.9413582814687549,,1.9665378332138062,5.999999224935708e-05,,278755.142,5112,2026-07-24T10:07:32.012694+00:00,1987.950880224005,2048,5.353281497955322,
4,1.8369514254695007,,2.3165810108184814,5.9999991997320055e-05,,278855.498,5113,2026-07-24T10:07:33.111321+00:00,1881.0382596807688,2048,5.079755783081055,
4,1.79250011338137,,2.2387232780456543,5.999999174125044e-05,,278849.303,5114,2026-07-24T10:07:34.248198+00:00,1835.520116102523,2048,5.520668029785156,
4,1.7966947778279447,,2.311760187149048,5.9999991481148247e-05,,279264.31,5115,2026-07-24T10:07:35.374764+00:00,1839.8154524958154,2048,5.915802955627441,
4,1.8916336680462968,,2.477350950241089,5.9999991217013436e-05,,279377.651,5116,2026-07-24T10:07:36.445462+00:00,1937.032876079408,2048,5.222649097442627,
4,1.9081778466016932,,2.7683780193328857,5.999999094884605e-05,,278959.312,5117,2026-07-24T10:07:37.505958+00:00,1953.9741149201338,2048,5.237916946411133,
4,1.776322311384717,,8.077821731567383,5.999999067664607e-05,,279115.067,5118,2026-07-24T10:07:38.643852+00:00,1818.9540468579503,2048,7.202164649963379,
4,1.9049846065345732,,2.2360432147979736,5.99999904004135e-05,,278772.826,5119,2026-07-24T10:07:39.706640+00:00,1950.704237091403,2048,5.675217628479004,
4,1.9177859544663252,,3.091538429260254,5.999999012014833e-05,,278794.059,5120,2026-07-24T10:07:40.759421+00:00,1963.812817373517,2048,4.9329304695129395,
4,1.7703308472409067,,2.5042836666107178,5.999998983585058e-05,,279295.988,5121,2026-07-24T10:07:41.899090+00:00,1812.8187875746885,2048,5.309497833251953,
