elapsed_seconds,epoch,gpu_memory_mb,gradient_norm,learning_rate,loss,perplexity,step,timestamp,tokens,tokens_per_second,type
1.7114608339979895,1,,6.211677551269531,4.9988897608228966e-05,9.369236946105957,11722.167028783646,1,1784758836.285559,27,15.775996425771387,train
0.15012175000447314,1,,4.53486442565918,4.9955601389636114e-05,9.545428276062012,13980.63275295264,2,1784758836.475212,50,333.0629971906813,train
0.15705533399886917,1,,11.1358003616333,4.9900144203569306e-05,8.913762092590332,7433.574354230108,3,1784758836.6499252,6,38.20309598681444,train
0.15087150000181282,1,,4.764564037322998,4.9822580779575757e-05,8.72343921661377,6145.277727176622,4,1784758836.8244638,213,1411.797456759167,train
0.15956100000039442,1,,4.637385368347168,4.97229876633906e-05,8.622261047363281,5553.929906166074,5,1784758837.001347,84,526.4444319087519,train
0.1548970410003676,1,,5.684884548187256,4.9601463141395496e-05,9.051916122436523,8534.876134218952,6,1784758837.176607,30,193.67703738077736,train
0.15822812500118744,1,,9.568239212036133,4.9458127143621816e-05,8.436543464660645,4612.583839000403,7,1784758837.352261,8,50.55991151977541,train
0.15893395800230792,1,,3.3363523483276367,4.9293121125394203e-05,9.025959014892578,8316.185997026423,8,1784758837.5279942,203,1277.2600805490051,train
0.156468291002966,1,,4.527213096618652,4.910660792773122e-05,8.926153182983398,7526.25748263715,9,1784758837.7024949,57,364.291062646805,train
0.15349045899347402,1,,4.690149784088135,4.889877161664096e-05,8.463887214660645,4740.449373164961,10,1784758837.878284,82,534.2351605286841,train
0.15317716700519668,1,,4.265362739562988,4.866981730147008e-05,8.769632339477539,6435.805837595669,11,1784758838.052285,86,561.4413798179357,train
0.1578376670004218,1,,4.329744815826416,4.841997093248566e-05,9.155905723571777,9470.203961295347,12,1784758838.226475,159,1007.3641040295857,train
0.15702908299863338,1,,5.466622829437256,4.814947907788958e-05,8.677068710327148,5866.8240008612365,13,1784758838.40154,33,210.1521537910732,train
0.1554456250014482,1,,4.2564592361450195,4.7858608680485444e-05,8.628070831298828,5586.290953234696,14,1784758838.576672,48,308.7896491107602,train
0.16129150000051595,1,,4.241668224334717,4.7547646794238276e-05,8.507948875427246,4953.991406689774,15,1784758838.7553349,66,409.1970128604971,train
